dataSubmitter,traceabilityLotCode,productDescription,quantity,unitOfMeasure,harvestDateAndLocation,traceabilityLotCodeSourceLocation,cteDate,referenceDocumentTypeNumber,contaminated,gtin,sgln,pgln,eventID,parentID
Tidal Maritime,urn:epc:class:lgtin:0618737.811504.f5dc6573679a4619d,shrimp,925,lb,"2023-06-16 - 2023-06-22
Major Fishing Area 1
Southern Atlantic",0618737.79714,2023-06-24,urn:epcglobal:epcis:LANDING.0618737,0,urn:epc:idpat:sgtin:0618737.811504,urn:epc:id:sgln:0618737.79714,urn:epc:id:pgln:0618737.79714,0618737.79714.9765152,
Deep Delights,urn:epc:class:lgtin:0831833.140929.4c6393b9e7e358229,oysters,41,lb,"2023-06-27 - 2023-07-02
Major Fishing Area 7
Southern Atlantic",0831833.69717,2023-07-04,urn:epcglobal:epcis:LANDING.0831833,0,urn:epc:idpat:sgtin:0831833.140929,urn:epc:id:sgln:0831833.69717,urn:epc:id:pgln:0831833.69717,0831833.69717.2594198,
Tidal Catches,urn:epc:class:lgtin:1220781.596705.cbdb2fb7f1cc3c3c9,crab,674,kg,"2023-07-24 - 2023-07-26
Major Fishing Area 7
Southern Pacific",1220781.89069,2023-07-27,urn:epcglobal:epcis:LANDING.1220781,0,urn:epc:idpat:sgtin:1220781.596705,urn:epc:id:sgln:1220781.89069,urn:epc:id:pgln:1220781.89069,1220781.89069.2592999,
Fresh Aquatics,urn:epc:class:lgtin:0814012.361495.df26b12bfd4256ae9,swordfish,532,kg,"2023-07-21 - 2023-07-28
Major Fishing Area 4
Northern Atlantic",0814012.13007,2023-07-29,urn:epcglobal:epcis:LANDING.0814012,0,urn:epc:idpat:sgtin:0814012.361495,urn:epc:id:sgln:0814012.13007,urn:epc:id:pgln:0814012.13007,0814012.13007.5543935,
Aqua Mariscos,urn:epc:class:lgtin:1122885.857935.616678b3c0c509b35,cod,268,lb,"2023-06-05 - 2023-06-11
Major Fishing Area 9
Northern Atlantic",1122885.27874,2023-06-13,urn:epcglobal:epcis:LANDING.1122885,0,urn:epc:idpat:sgtin:1122885.857935,urn:epc:id:sgln:1122885.27874,urn:epc:id:pgln:1122885.27874,1122885.27874.2436449,
Tidal Aquatics,urn:epc:class:lgtin:1251343.756017.22bf595d0d31e7e4c,clams,378,kg,"2023-06-18 - 2023-06-25
Major Fishing Area 7
Northern Pacific",1251343.51485,2023-06-27,urn:epcglobal:epcis:LANDING.1251343,0,urn:epc:idpat:sgtin:1251343.756017,urn:epc:id:sgln:1251343.51485,urn:epc:id:pgln:1251343.51485,1251343.51485.5598419,
Coastal Catchers,urn:epc:class:lgtin:1372683.526503.7ca0cfca056c0b5e9,amberjack,183,lb,"2023-07-23 - 2023-07-30
Major Fishing Area 5
Central Atlantic",1372683.92429,2023-07-31,urn:epcglobal:epcis:LANDING.1372683,0,urn:epc:idpat:sgtin:1372683.526503,urn:epc:id:sgln:1372683.92429,urn:epc:id:pgln:1372683.92429,1372683.92429.9272798,
Coastal Catchers,urn:epc:class:lgtin:1122227.289455.35bbc385ed6a8e25a,lobster,500,lb,"2023-06-30 - 2023-07-10
Major Fishing Area 10
Central Atlantic",1122227.55899,2023-07-13,urn:epcglobal:epcis:LANDING.1122227,0,urn:epc:idpat:sgtin:1122227.289455,urn:epc:id:sgln:1122227.55899,urn:epc:id:pgln:1122227.55899,1122227.55899.4280967,
Tidal Maritime,urn:epc:class:lgtin:0618737.830523.7eff28bbc3f9ebd50,mackerel,191,lb,"2023-07-20 - 2023-07-29
Major Fishing Area 3
Central Atlantic",0618737.79714,2023-07-31,urn:epcglobal:epcis:LANDING.0618737,0,urn:epc:idpat:sgtin:0618737.830523,urn:epc:id:sgln:0618737.79714,urn:epc:id:pgln:0618737.79714,0618737.79714.5256072,
Aqua Coast,urn:epc:class:lgtin:1138491.759722.c6778219494390d45,mussels,178,lb,"2023-07-08 - 2023-07-18
Major Fishing Area 2
Northern Atlantic",1138491.74552,2023-07-20,urn:epcglobal:epcis:LANDING.1138491,0,urn:epc:idpat:sgtin:1138491.759722,urn:epc:id:sgln:1138491.74552,urn:epc:id:pgln:1138491.74552,1138491.74552.4065572,
Sea Seafoods,urn:epc:class:lgtin:1350352.616723.b75e577a53d8fa21d,swordfish,140,kg,"2023-07-11 - 2023-07-18
Major Fishing Area 4
Southern Atlantic",1350352.79184,2023-07-20,urn:epcglobal:epcis:LANDING.1350352,0,urn:epc:idpat:sgtin:1350352.616723,urn:epc:id:sgln:1350352.79184,urn:epc:id:pgln:1350352.79184,1350352.79184.2563256,
Coastal Fisheries,urn:epc:class:lgtin:0640809.737981.6fae28da6a81f2717,grouper,850,lb,"2023-07-06 - 2023-07-11
Major Fishing Area 10
Central Pacific",0640809.92408,2023-07-12,urn:epcglobal:epcis:LANDING.0640809,0,urn:epc:idpat:sgtin:0640809.737981,urn:epc:id:sgln:0640809.92408,urn:epc:id:pgln:0640809.92408,0640809.92408.2122429,
Ocean Fisheries,urn:epc:class:lgtin:0853429.410538.00214899715e10dbe,jack fish,98,lb,"2023-07-06 - 2023-07-15
Major Fishing Area 3
Northern Atlantic",0853429.95587,2023-07-17,urn:epcglobal:epcis:LANDING.0853429,0,urn:epc:idpat:sgtin:0853429.410538,urn:epc:id:sgln:0853429.95587,urn:epc:id:pgln:0853429.95587,0853429.95587.4408078,
Aqua Maritime,urn:epc:class:lgtin:1194918.338006.a95adf58e8994f482,amberjack,583,kg,"2023-06-01 - 2023-06-06
Major Fishing Area 10
Southern Atlantic",1194918.58508,2023-06-07,urn:epcglobal:epcis:LANDING.1194918,0,urn:epc:idpat:sgtin:1194918.338006,urn:epc:id:sgln:1194918.58508,urn:epc:id:pgln:1194918.58508,1194918.58508.4350245,
Tidal Coast,urn:epc:class:lgtin:1392244.325054.61f541e37e7013ee7,pollock,551,lb,"2023-06-30 - 2023-07-05
Major Fishing Area 8
Southern Atlantic",1392244.97244,2023-07-08,urn:epcglobal:epcis:LANDING.1392244,0,urn:epc:idpat:sgtin:1392244.325054,urn:epc:id:sgln:1392244.97244,urn:epc:id:pgln:1392244.97244,1392244.97244.9185786,
Fresh Mariscos,urn:epc:class:lgtin:0883535.380198.2ef928a30201571db,tilapia,260,lb,"2023-06-05 - 2023-06-09
Major Fishing Area 3
Central Atlantic",0883535.49714,2023-06-12,urn:epcglobal:epcis:LANDING.0883535,0,urn:epc:idpat:sgtin:0883535.380198,urn:epc:id:sgln:0883535.49714,urn:epc:id:pgln:0883535.49714,0883535.49714.1398796,
Aqua Catchers,urn:epc:class:lgtin:0682383.500291.9389ce6453571dbeb,jack fish,675,lb,"2023-06-08 - 2023-06-15
Major Fishing Area 7
Northern Atlantic",0682383.34420,2023-06-17,urn:epcglobal:epcis:LANDING.0682383,0,urn:epc:idpat:sgtin:0682383.500291,urn:epc:id:sgln:0682383.34420,urn:epc:id:pgln:0682383.34420,0682383.34420.4223794,
Aqua Coast,urn:epc:class:lgtin:1138491.518990.9a37d8e42b39ab2a2,mussels,982,lb,"2023-07-13 - 2023-07-22
Major Fishing Area 3
Northern Atlantic",1138491.74552,2023-07-23,urn:epcglobal:epcis:LANDING.1138491,0,urn:epc:idpat:sgtin:1138491.518990,urn:epc:id:sgln:1138491.74552,urn:epc:id:pgln:1138491.74552,1138491.74552.8588864,
Marine Catchers,urn:epc:class:lgtin:0834608.828285.3def278b897c36463,tilapia,558,lb,"2023-07-11 - 2023-07-20
Major Fishing Area 9
Southern Atlantic",0834608.37813,2023-07-22,urn:epcglobal:epcis:LANDING.0834608,0,urn:epc:idpat:sgtin:0834608.828285,urn:epc:id:sgln:0834608.37813,urn:epc:id:pgln:0834608.37813,0834608.37813.2804197,
Aqua Coast,urn:epc:class:lgtin:0747692.428759.d583c6b8ee4cf4a7c,trout,197,kg,"2023-06-11 - 2023-06-14
Major Fishing Area 5
Northern Atlantic",0747692.73897,2023-06-15,urn:epcglobal:epcis:LANDING.0747692,0,urn:epc:idpat:sgtin:0747692.428759,urn:epc:id:sgln:0747692.73897,urn:epc:id:pgln:0747692.73897,0747692.73897.6140398,
Tidal Maritime,urn:epc:class:lgtin:0618737.786702.fc5dc7a666e5289b2,clams,938,kg,"2023-06-01 - 2023-06-09
Major Fishing Area 4
Central Atlantic",0618737.79714,2023-06-11,urn:epcglobal:epcis:LANDING.0618737,0,urn:epc:idpat:sgtin:0618737.786702,urn:epc:id:sgln:0618737.79714,urn:epc:id:pgln:0618737.79714,0618737.79714.8068428,
Coastal Coast,urn:epc:class:lgtin:1355942.784386.017962958eb205a33,lobster,625,lb,"2023-07-14 - 2023-07-23
Major Fishing Area 2
Central Atlantic",1355942.84944,2023-07-25,urn:epcglobal:epcis:LANDING.1355942,0,urn:epc:idpat:sgtin:1355942.784386,urn:epc:id:sgln:1355942.84944,urn:epc:id:pgln:1355942.84944,1355942.84944.9763594,
Coastal Catchers,urn:epc:class:lgtin:1122227.815862.d71911974a108f773,jack fish,434,kg,"2023-07-10 - 2023-07-16
Major Fishing Area 10
Northern Atlantic",1122227.55899,2023-07-17,urn:epcglobal:epcis:LANDING.1122227,0,urn:epc:idpat:sgtin:1122227.815862,urn:epc:id:sgln:1122227.55899,urn:epc:id:pgln:1122227.55899,1122227.55899.1599910,
Coastal Fisheries,urn:epc:class:lgtin:0640809.950957.9c72fc035c7a7682f,shrimp,566,lb,"2023-07-15 - 2023-07-17
Major Fishing Area 9
Southern Pacific",0640809.92408,2023-07-18,urn:epcglobal:epcis:LANDING.0640809,0,urn:epc:idpat:sgtin:0640809.950957,urn:epc:id:sgln:0640809.92408,urn:epc:id:pgln:0640809.92408,0640809.92408.9294313,
Coastal Coast,urn:epc:class:lgtin:1355942.429394.867060eaa3e5c697d,trout,92,lb,"2023-07-04 - 2023-07-11
Major Fishing Area 9
Northern Atlantic",1355942.84944,2023-07-12,urn:epcglobal:epcis:LANDING.1355942,0,urn:epc:idpat:sgtin:1355942.429394,urn:epc:id:sgln:1355942.84944,urn:epc:id:pgln:1355942.84944,1355942.84944.4859118,
Coastal Mariscos,urn:epc:class:lgtin:1114768.993897.8a3df9d624a28ab88,crayfish,276,lb,"2023-07-12 - 2023-07-16
Major Fishing Area 7
Southern Atlantic",1114768.13145,2023-07-17,urn:epcglobal:epcis:LANDING.1114768,0,urn:epc:idpat:sgtin:1114768.993897,urn:epc:id:sgln:1114768.13145,urn:epc:id:pgln:1114768.13145,1114768.13145.6868392,
Tidal Maritime,urn:epc:class:lgtin:0618737.456477.fa6de47133eb1a6c7,lobster,61,kg,"2023-07-22 - 2023-07-26
Major Fishing Area 1
Central Atlantic",0618737.79714,2023-07-27,urn:epcglobal:epcis:LANDING.0618737,0,urn:epc:idpat:sgtin:0618737.456477,urn:epc:id:sgln:0618737.79714,urn:epc:id:pgln:0618737.79714,0618737.79714.4510977,
Fresh Aquatics,urn:epc:class:lgtin:0812950.953321.673584adae1e6d192,salmon,333,lb,"2023-06-22 - 2023-06-27
Major Fishing Area 1
Central Atlantic",0812950.51420,2023-06-29,urn:epcglobal:epcis:LANDING.0812950,0,urn:epc:idpat:sgtin:0812950.953321,urn:epc:id:sgln:0812950.51420,urn:epc:id:pgln:0812950.51420,0812950.51420.9871022,
Ocean Delights,urn:epc:class:lgtin:0756143.574730.44421b5b5f991706a,pollock,444,kg,"2023-07-11 - 2023-07-15
Major Fishing Area 4
Central Atlantic",0756143.80522,2023-07-18,urn:epcglobal:epcis:LANDING.0756143,0,urn:epc:idpat:sgtin:0756143.574730,urn:epc:id:sgln:0756143.80522,urn:epc:id:pgln:0756143.80522,0756143.80522.1415490,
Coastal Catchers,urn:epc:class:lgtin:1122227.800805.b435d620f83df17ae,amberjack,300,lb,"2023-06-17 - 2023-06-27
Major Fishing Area 4
Southern Atlantic",1122227.55899,2023-06-28,urn:epcglobal:epcis:LANDING.1122227,0,urn:epc:idpat:sgtin:1122227.800805,urn:epc:id:sgln:1122227.55899,urn:epc:id:pgln:1122227.55899,1122227.55899.8588558,
Coastal Coast,urn:epc:class:lgtin:1359281.347784.b5f53485969038271,cod,844,kg,"2023-06-26 - 2023-07-05
Major Fishing Area 7
Southern Atlantic",1359281.48935,2023-07-06,urn:epcglobal:epcis:LANDING.1359281,0,urn:epc:idpat:sgtin:1359281.347784,urn:epc:id:sgln:1359281.48935,urn:epc:id:pgln:1359281.48935,1359281.48935.8120135,
Aqua Coast,urn:epc:class:lgtin:1138491.795611.a9ebe62a038a1eb96,mackerel,992,kg,"2023-07-10 - 2023-07-13
Major Fishing Area 1
Southern Atlantic",1138491.74552,2023-07-14,urn:epcglobal:epcis:LANDING.1138491,0,urn:epc:idpat:sgtin:1138491.795611,urn:epc:id:sgln:1138491.74552,urn:epc:id:pgln:1138491.74552,1138491.74552.3376165,
Aqua Aquatics,urn:epc:class:lgtin:0695923.323661.ab8a7f3088a8089c7,barracuda,878,lb,"2023-06-16 - 2023-06-26
Major Fishing Area 1
Northern Atlantic",0695923.83700,2023-06-28,urn:epcglobal:epcis:LANDING.0695923,0,urn:epc:idpat:sgtin:0695923.323661,urn:epc:id:sgln:0695923.83700,urn:epc:id:pgln:0695923.83700,0695923.83700.3132044,
Deep Bay,urn:epc:class:lgtin:0871529.851621.6bbaf00a805f1915f,trout,719,kg,"2023-07-09 - 2023-07-15
Major Fishing Area 6
Central Atlantic",0871529.11249,2023-07-18,urn:epcglobal:epcis:LANDING.0871529,0,urn:epc:idpat:sgtin:0871529.851621,urn:epc:id:sgln:0871529.11249,urn:epc:id:pgln:0871529.11249,0871529.11249.4843313,
Marine Maritime,urn:epc:class:lgtin:1394496.795904.a8dd675e3e8bd5fa9,grouper,47,lb,"2023-06-10 - 2023-06-12
Major Fishing Area 7
Northern Atlantic",1394496.15347,2023-06-13,urn:epcglobal:epcis:LANDING.1394496,0,urn:epc:idpat:sgtin:1394496.795904,urn:epc:id:sgln:1394496.15347,urn:epc:id:pgln:1394496.15347,1394496.15347.9014499,
Aqua Coast,urn:epc:class:lgtin:1138491.544887.b1bc86985636688f7,mussels,447,kg,"2023-06-30 - 2023-07-08
Major Fishing Area 5
Northern Atlantic",1138491.74552,2023-07-10,urn:epcglobal:epcis:LANDING.1138491,0,urn:epc:idpat:sgtin:1138491.544887,urn:epc:id:sgln:1138491.74552,urn:epc:id:pgln:1138491.74552,1138491.74552.2152755,
Marine Delights,urn:epc:class:lgtin:0990493.259783.09de4cca846ac7122,mahi mahi,937,lb,"2023-07-20 - 2023-07-23
Major Fishing Area 8
Southern Atlantic",0990493.24933,2023-07-26,urn:epcglobal:epcis:LANDING.0990493,0,urn:epc:idpat:sgtin:0990493.259783,urn:epc:id:sgln:0990493.24933,urn:epc:id:pgln:0990493.24933,0990493.24933.4726057,
Deep Delights,urn:epc:class:lgtin:0831833.915756.b8a583432e4bb3fac,shrimp,249,kg,"2023-07-08 - 2023-07-12
Major Fishing Area 1
Southern Atlantic",0831833.69717,2023-07-13,urn:epcglobal:epcis:LANDING.0831833,0,urn:epc:idpat:sgtin:0831833.915756,urn:epc:id:sgln:0831833.69717,urn:epc:id:pgln:0831833.69717,0831833.69717.1512264,
Fresh Maritime,urn:epc:class:lgtin:1269663.142610.f4a93ee59ad3be2be,mussels,947,kg,"2023-07-06 - 2023-07-16
Major Fishing Area 4
Northern Atlantic",1269663.86458,2023-07-19,urn:epcglobal:epcis:LANDING.1269663,0,urn:epc:idpat:sgtin:1269663.142610,urn:epc:id:sgln:1269663.86458,urn:epc:id:pgln:1269663.86458,1269663.86458.2064275,
Tidal Maritime,urn:epc:class:lgtin:0618737.911685.173d112073c67a943,mackerel,649,lb,"2023-06-29 - 2023-07-04
Major Fishing Area 8
Northern Atlantic",0618737.79714,2023-07-05,urn:epcglobal:epcis:LANDING.0618737,0,urn:epc:idpat:sgtin:0618737.911685,urn:epc:id:sgln:0618737.79714,urn:epc:id:pgln:0618737.79714,0618737.79714.3155239,
Tidal Maritime,urn:epc:class:lgtin:0618737.170921.ff9740de6b5903894,crab,401,kg,"2023-07-14 - 2023-07-16
Major Fishing Area 6
Northern Atlantic",0618737.79714,2023-07-17,urn:epcglobal:epcis:LANDING.0618737,0,urn:epc:idpat:sgtin:0618737.170921,urn:epc:id:sgln:0618737.79714,urn:epc:id:pgln:0618737.79714,0618737.79714.1359299,
Ocean Coast,urn:epc:class:lgtin:1259358.921663.3ea6667825cbfed63,jack fish,250,lb,"2023-07-25 - 2023-07-31
Major Fishing Area 3
Northern Pacific",1259358.33327,2023-08-01,urn:epcglobal:epcis:LANDING.1259358,0,urn:epc:idpat:sgtin:1259358.921663,urn:epc:id:sgln:1259358.33327,urn:epc:id:pgln:1259358.33327,1259358.33327.5155373,
Fresh Aquatics,urn:epc:class:lgtin:0814012.451960.3d820ec5aed42f5cb,crab,470,kg,"2023-06-27 - 2023-06-30
Major Fishing Area 4
Southern Atlantic",0814012.13007,2023-07-01,urn:epcglobal:epcis:LANDING.0814012,0,urn:epc:idpat:sgtin:0814012.451960,urn:epc:id:sgln:0814012.13007,urn:epc:id:pgln:0814012.13007,0814012.13007.9871129,
Coastal Catchers,urn:epc:class:lgtin:1122227.444764.5231ff9bd16b1209f,lobster,458,lb,"2023-06-19 - 2023-06-24
Major Fishing Area 1
Northern Atlantic",1122227.55899,2023-06-27,urn:epcglobal:epcis:LANDING.1122227,0,urn:epc:idpat:sgtin:1122227.444764,urn:epc:id:sgln:1122227.55899,urn:epc:id:pgln:1122227.55899,1122227.55899.1490550,
Ocean Mariscos,urn:epc:class:lgtin:1348322.403937.7d1dff91ea4a8ae2d,swordfish,889,kg,"2023-07-15 - 2023-07-19
Major Fishing Area 5
Southern Pacific",1348322.82144,2023-07-22,urn:epcglobal:epcis:LANDING.1348322,0,urn:epc:idpat:sgtin:1348322.403937,urn:epc:id:sgln:1348322.82144,urn:epc:id:pgln:1348322.82144,1348322.82144.2419349,
Marine Maritime,urn:epc:class:lgtin:1087774.792433.04c1ab60dc1a82d00,shrimp,27,lb,"2023-06-01 - 2023-06-06
Major Fishing Area 3
Northern Atlantic",1087774.52772,2023-06-07,urn:epcglobal:epcis:LANDING.1087774,0,urn:epc:idpat:sgtin:1087774.792433,urn:epc:id:sgln:1087774.52772,urn:epc:id:pgln:1087774.52772,1087774.52772.9023285,
Tidal Maritime,urn:epc:class:lgtin:0618737.455039.e42faa450003930c5,crayfish,311,kg,"2023-06-30 - 2023-07-08
Major Fishing Area 7
Northern Atlantic",0618737.79714,2023-07-10,urn:epcglobal:epcis:LANDING.0618737,0,urn:epc:idpat:sgtin:0618737.455039,urn:epc:id:sgln:0618737.79714,urn:epc:id:pgln:0618737.79714,0618737.79714.5169666,
Wave Coast,urn:epc:class:lgtin:0675459.857018.e211ce3c183450adc,tilapia,905,lb,"2023-06-10 - 2023-06-18
Major Fishing Area 10
Southern Atlantic",0675459.59752,2023-06-21,urn:epcglobal:epcis:LANDING.0675459,0,urn:epc:idpat:sgtin:0675459.857018,urn:epc:id:sgln:0675459.59752,urn:epc:id:pgln:0675459.59752,0675459.59752.4885060,
Fresh Bay,urn:epc:class:lgtin:1321636.564270.b2aec571c632b8e98,mahi mahi,168,kg,"2023-07-02 - 2023-07-12
Major Fishing Area 10
Central Pacific",1321636.98872,2023-07-15,urn:epcglobal:epcis:LANDING.1321636,0,urn:epc:idpat:sgtin:1321636.564270,urn:epc:id:sgln:1321636.98872,urn:epc:id:pgln:1321636.98872,1321636.98872.1738679,
Deep Bay,urn:epc:class:lgtin:0952084.501831.97eb93204d95ab747,pollock,546,kg,"2023-06-10 - 2023-06-14
Major Fishing Area 10
Northern Atlantic",0952084.72068,2023-06-15,urn:epcglobal:epcis:LANDING.0952084,0,urn:epc:idpat:sgtin:0952084.501831,urn:epc:id:sgln:0952084.72068,urn:epc:id:pgln:0952084.72068,0952084.72068.4240668,
Marine Maritime,urn:epc:class:lgtin:0944658.898813.4b3f05c284f26f986,clams,541,kg,"2023-07-15 - 2023-07-21
Major Fishing Area 7
Southern Atlantic",0944658.49426,2023-07-23,urn:epcglobal:epcis:LANDING.0944658,0,urn:epc:idpat:sgtin:0944658.898813,urn:epc:id:sgln:0944658.49426,urn:epc:id:pgln:0944658.49426,0944658.49426.4606893,
Coastal Catchers,urn:epc:class:lgtin:1122227.722726.1a98f505fae01699c,jack fish,742,lb,"2023-07-16 - 2023-07-18
Major Fishing Area 8
Northern Atlantic",1122227.55899,2023-07-20,urn:epcglobal:epcis:LANDING.1122227,0,urn:epc:idpat:sgtin:1122227.722726,urn:epc:id:sgln:1122227.55899,urn:epc:id:pgln:1122227.55899,1122227.55899.3562274,
Coastal Aquatics,urn:epc:class:lgtin:1335410.210348.8eeb24c553f1e4489,salmon,369,kg,"2023-06-02 - 2023-06-04
Major Fishing Area 9
Central Atlantic",1335410.86120,2023-06-05,urn:epcglobal:epcis:LANDING.1335410,0,urn:epc:idpat:sgtin:1335410.210348,urn:epc:id:sgln:1335410.86120,urn:epc:id:pgln:1335410.86120,1335410.86120.7082205,
Tidal Coast,urn:epc:class:lgtin:1392244.859822.e8b9b7b72314adbec,swordfish,963,lb,"2023-06-30 - 2023-07-09
Major Fishing Area 5
Southern Atlantic",1392244.97244,2023-07-10,urn:epcglobal:epcis:LANDING.1392244,0,urn:epc:idpat:sgtin:1392244.859822,urn:epc:id:sgln:1392244.97244,urn:epc:id:pgln:1392244.97244,1392244.97244.4193623,
Deep Fisheries,urn:epc:class:lgtin:1090537.698511.58f94e77fb6bab947,trout,775,lb,"2023-06-20 - 2023-06-24
Major Fishing Area 4
Northern Pacific",1090537.28416,2023-06-25,urn:epcglobal:epcis:LANDING.1090537,0,urn:epc:idpat:sgtin:1090537.698511,urn:epc:id:sgln:1090537.28416,urn:epc:id:pgln:1090537.28416,1090537.28416.8470335,
Harbor Aquatics,urn:epc:class:lgtin:0843929.345755.0167647b830ebc176,shrimp,704,lb,"2023-06-08 - 2023-06-15
Major Fishing Area 5
Southern Atlantic",0843929.10237,2023-06-18,urn:epcglobal:epcis:LANDING.0843929,0,urn:epc:idpat:sgtin:0843929.345755,urn:epc:id:sgln:0843929.10237,urn:epc:id:pgln:0843929.10237,0843929.10237.5171968,
Marine Delights,urn:epc:class:lgtin:0990493.847947.8f69352e309521835,mussels,860,lb,"2023-07-05 - 2023-07-15
Major Fishing Area 1
Central Atlantic",0990493.24933,2023-07-17,urn:epcglobal:epcis:LANDING.0990493,0,urn:epc:idpat:sgtin:0990493.847947,urn:epc:id:sgln:0990493.24933,urn:epc:id:pgln:0990493.24933,0990493.24933.9068442,
Tidal Coast,urn:epc:class:lgtin:1392244.725437.ce9943883af3e3599,clams,340,kg,"2023-06-18 - 2023-06-28
Major Fishing Area 5
Central Atlantic",1392244.97244,2023-06-30,urn:epcglobal:epcis:LANDING.1392244,0,urn:epc:idpat:sgtin:1392244.725437,urn:epc:id:sgln:1392244.97244,urn:epc:id:pgln:1392244.97244,1392244.97244.5540243,
Sea Maritime,urn:epc:class:lgtin:0746852.806716.db261371416342e9f,pollock,338,kg,"2023-06-27 - 2023-06-29
Major Fishing Area 8
Northern Atlantic",0746852.86054,2023-07-01,urn:epcglobal:epcis:LANDING.0746852,0,urn:epc:idpat:sgtin:0746852.806716,urn:epc:id:sgln:0746852.86054,urn:epc:id:pgln:0746852.86054,0746852.86054.1576789,
Deep Delights,urn:epc:class:lgtin:0831833.122983.cd8de62eae4546cea,clams,107,lb,"2023-07-07 - 2023-07-10
Major Fishing Area 7
Northern Atlantic",0831833.69717,2023-07-12,urn:epcglobal:epcis:LANDING.0831833,0,urn:epc:idpat:sgtin:0831833.122983,urn:epc:id:sgln:0831833.69717,urn:epc:id:pgln:0831833.69717,0831833.69717.5778826,
Coastal Coast,urn:epc:class:lgtin:1355942.910433.c2f599d4ca1e2f98c,trout,310,lb,"2023-06-28 - 2023-07-07
Major Fishing Area 6
Northern Atlantic",1355942.84944,2023-07-09,urn:epcglobal:epcis:LANDING.1355942,0,urn:epc:idpat:sgtin:1355942.910433,urn:epc:id:sgln:1355942.84944,urn:epc:id:pgln:1355942.84944,1355942.84944.5163520,
Wave Aquatics,urn:epc:class:lgtin:1170729.302958.c92a273a6117ddaf3,jack fish,623,kg,"2023-06-20 - 2023-06-24
Major Fishing Area 5
Southern Atlantic",1170729.83418,2023-06-26,urn:epcglobal:epcis:LANDING.1170729,0,urn:epc:idpat:sgtin:1170729.302958,urn:epc:id:sgln:1170729.83418,urn:epc:id:pgln:1170729.83418,1170729.83418.4989145,
Fresh Aquatics,urn:epc:class:lgtin:0812950.609098.defe4844cfdb87e0d,oysters,994,lb,"2023-07-22 - 2023-07-31
Major Fishing Area 10
Northern Atlantic",0812950.51420,2023-08-03,urn:epcglobal:epcis:LANDING.0812950,0,urn:epc:idpat:sgtin:0812950.609098,urn:epc:id:sgln:0812950.51420,urn:epc:id:pgln:0812950.51420,0812950.51420.3707927,
Tidal Maritime,urn:epc:class:lgtin:0618737.202724.035ec0afc52932bd3,jack fish,430,lb,"2023-06-23 - 2023-06-29
Major Fishing Area 7
Northern Atlantic",0618737.79714,2023-06-30,urn:epcglobal:epcis:LANDING.0618737,0,urn:epc:idpat:sgtin:0618737.202724,urn:epc:id:sgln:0618737.79714,urn:epc:id:pgln:0618737.79714,0618737.79714.1622682,
Marine Coast,urn:epc:class:lgtin:1270927.178137.adba96f51811b6408,amberjack,118,kg,"2023-07-01 - 2023-07-08
Major Fishing Area 5
Southern Atlantic",1270927.68344,2023-07-10,urn:epcglobal:epcis:LANDING.1270927,0,urn:epc:idpat:sgtin:1270927.178137,urn:epc:id:sgln:1270927.68344,urn:epc:id:pgln:1270927.68344,1270927.68344.4353868,
Ocean Mariscos,urn:epc:class:lgtin:1348322.129072.e5ef9d240041836fb,jack fish,715,lb,"2023-06-14 - 2023-06-22
Major Fishing Area 8
Northern Pacific",1348322.82144,2023-06-23,urn:epcglobal:epcis:LANDING.1348322,0,urn:epc:idpat:sgtin:1348322.129072,urn:epc:id:sgln:1348322.82144,urn:epc:id:pgln:1348322.82144,1348322.82144.8333907,
Marine Maritime,urn:epc:class:lgtin:1087774.238931.6b0c9e297dc18f300,shrimp,74,kg,"2023-06-12 - 2023-06-16
Major Fishing Area 3
Central Atlantic",1087774.52772,2023-06-18,urn:epcglobal:epcis:LANDING.1087774,0,urn:epc:idpat:sgtin:1087774.238931,urn:epc:id:sgln:1087774.52772,urn:epc:id:pgln:1087774.52772,1087774.52772.1230321,
Deep Catches,urn:epc:class:lgtin:0872748.755334.e2a922fdca6202b49,mahi mahi,659,lb,"2023-07-17 - 2023-07-21
Major Fishing Area 7
Northern Atlantic",0872748.91527,2023-07-23,urn:epcglobal:epcis:LANDING.0872748,0,urn:epc:idpat:sgtin:0872748.755334,urn:epc:id:sgln:0872748.91527,urn:epc:id:pgln:0872748.91527,0872748.91527.9620736,
Fresh Bay,urn:epc:class:lgtin:1321636.332613.2517b5d6ce84103cf,trout,539,kg,"2023-06-16 - 2023-06-21
Major Fishing Area 1
Northern Pacific",1321636.98872,2023-06-24,urn:epcglobal:epcis:LANDING.1321636,0,urn:epc:idpat:sgtin:1321636.332613,urn:epc:id:sgln:1321636.98872,urn:epc:id:pgln:1321636.98872,1321636.98872.5220285,
Marine Maritime,urn:epc:class:lgtin:1087774.693282.b6d3e47c0ae64a3a4,amberjack,782,kg,"2023-07-22 - 2023-07-29
Major Fishing Area 6
Central Atlantic",1087774.52772,2023-07-31,urn:epcglobal:epcis:LANDING.1087774,0,urn:epc:idpat:sgtin:1087774.693282,urn:epc:id:sgln:1087774.52772,urn:epc:id:pgln:1087774.52772,1087774.52772.6264393,
